flow,period,workday,blue_rate,yellow_rate,green_rate,other_rate,rate
130.0,0,1,0.6153846153846154,0.36923076923076925,0.007692307692307693,0.007692307692307693,0.038461538461538464
109.0,1,1,0.46788990825688076,0.5137614678899083,0.01834862385321101,0.0,0.10091743119266056
97.0,2,1,0.6597938144329897,0.31958762886597936,0.010309278350515464,0.010309278350515464,0.020618556701030927
91.0,3,1,0.4725274725274725,0.5054945054945055,0.01098901098901099,0.01098901098901099,0.054945054945054944
103.0,4,1,0.39805825242718446,0.6019417475728155,0.0,0.0,0.038834951456310676
79.0,5,1,0.4177215189873418,0.5569620253164557,0.02531645569620253,0.0,0.0379746835443038
92.0,6,1,0.3804347826086957,0.5978260869565217,0.021739130434782608,0.0,0.0
83.0,7,1,0.46987951807228917,0.5180722891566265,0.012048192771084338,0.0,0.04819277108433735
80.0,8,1,0.45,0.5,0.025,0.025,0.0
82.0,9,1,0.45121951219512196,0.524390243902439,0.024390243902439025,0.0,0.036585365853658534
75.0,10,1,0.36,0.6266666666666667,0.0,0.013333333333333334,0.05333333333333334
83.0,11,1,0.30120481927710846,0.6626506024096386,0.03614457831325301,0.0,0.03614457831325301
68.0,12,1,0.2647058823529412,0.7205882352941176,0.0,0.014705882352941176,0.014705882352941176
48.0,13,1,0.3958333333333333,0.6041666666666666,0.0,0.0,0.041666666666666664
71.0,14,1,0.38028169014084506,0.6056338028169014,0.014084507042253521,0.0,0.04225352112676056
64.0,15,1,0.375,0.609375,0.015625,0.0,0.0
59.0,16,1,0.4406779661016949,0.5423728813559322,0.0,0.01694915254237288,0.01694915254237288
73.0,17,1,0.273972602739726,0.726027397260274,0.0,0.0,0.0136986301369863
73.0,18,1,0.3150684931506849,0.6712328767123288,0.0,0.0136986301369863,0.0410958904109589
77.0,19,1,0.3246753246753247,0.6753246753246753,0.0,0.0,0.0
99.0,20,1,0.3434343434343434,0.6363636363636364,0.020202020202020204,0.0,0.030303030303030304
91.0,21,1,0.5164835164835165,0.46153846153846156,0.02197802197802198,0.0,0.0
101.0,22,1,0.44554455445544555,0.5346534653465347,0.009900990099009901,0.009900990099009901,0.04950495049504951
126.0,23,1,0.3888888888888889,0.6031746031746031,0.007936507936507936,0.0,0.007936507936507936
142.0,24,1,0.352112676056338,0.647887323943662,0.0,0.0,0.02112676056338028
160.0,25,1,0.4375,0.55625,0.00625,0.0,0.025
200.0,26,1,0.47,0.52,0.01,0.0,0.02
207.0,27,1,0.463768115942029,0.5314009661835749,0.004830917874396135,0.0,0.043478260869565216
205.0,28,1,0.6,0.3853658536585366,0.00975609756097561,0.004878048780487805,0.01951219512195122
215.0,29,1,0.5348837209302325,0.4511627906976744,0.013953488372093023,0.0,0.03255813953488372
231.0,30,1,0.6017316017316018,0.3722943722943723,0.021645021645021644,0.004329004329004329,0.06060606060606061
224.0,31,1,0.5758928571428571,0.4017857142857143,0.022321428571428572,0.0,0.05803571428571429
267.0,32,1,0.6441947565543071,0.34831460674157305,0.00749063670411985,0.0,0.056179775280898875
216.0,33,1,0.625,0.35185185185185186,0.018518518518518517,0.004629629629629629,0.06944444444444445
278.0,34,1,0.6834532374100719,0.302158273381295,0.01079136690647482,0.0035971223021582736,0.05755395683453238
297.0,35,1,0.6666666666666666,0.3063973063973064,0.020202020202020204,0.006734006734006734,0.07407407407407407
324.0,36,1,0.6790123456790124,0.3055555555555556,0.012345679012345678,0.0030864197530864196,0.08950617283950617
340.0,37,1,0.7,0.2823529411764706,0.014705882352941176,0.0029411764705882353,0.08529411764705883
331.0,38,1,0.7492447129909365,0.23867069486404835,0.00906344410876133,0.0030211480362537764,0.10876132930513595
350.0,39,1,0.7428571428571429,0.23714285714285716,0.017142857142857144,0.002857142857142857,0.08571428571428572
384.0,40,1,0.71875,0.2578125,0.018229166666666668,0.005208333333333333,0.109375
384.0,41,1,0.7552083333333334,0.21875,0.020833333333333332,0.005208333333333333,0.09114583333333333
417.0,42,1,0.7194244604316546,0.26139088729016785,0.016786570743405275,0.002398081534772182,0.09352517985611511
